basin, number, time, tech, forecastHr, lat , lon, vmax, mslp, 
basin, number, time, tech, model, forecastHr, lat , lon, vmax, mslp, 
WP, 19, 2006100100, 03, EE35,  24, 156N, 1047E,  32,  993, XX
WP, 19, 2006100100, 03, EE35,  36, 159N, 1025E,  23,  997, XX
WP, 19, 2006100100, 03, EE35,  48, 164N, 1003E,  18, 1002, XX
WP, 19, 2006100100, 03, EE35,  60, 169N,  975E,  23, 1004, XX
WP, 19, 2006100100, 03, EE35,  72, 169N,  958E,  25, 1002, XX
WP, 19, 2006100100, 03, EE35,  84, 170N,  962E,  32, 1001, XX
WP, 19, 2006100100, 03, EE35,  96, 176N,  965E,  30, 1003, XX
WP, 19, 2006100100, 03, EE36,   0, 159N, 1086E,  47,  983, XX
WP, 19, 2006100100, 03, EE36,  12, 153N, 1072E,  34,  992, XX
WP, 19, 2006100100, 03, EE36,  24, 153N, 1054E,  31,  994, XX
WP, 19, 2006100100, 03, EE36,  36, 151N, 1045E,  24, 1000, XX
WP, 19, 2006100100, 03, EE36,  48, 150N, 1037E,  18, 1004, XX
WP, 19, 2006100100, 03, EE37,   0, 159N, 1086E,  47,  983, XX
WP, 19, 2006100100, 03, EE37,  12, 154N, 1075E,  35,  993, XX
WP, 19, 2006100100, 03, EE37,  24, 151N, 1056E,  27,  996, XX
WP, 19, 2006100100, 03, EE37,  36, 147N, 1051E,  22, 1000, XX
WP, 19, 2006100100, 03, EE37,  48, 145N, 1042E,  20, 1003, XX
WP, 19, 2006100100, 03, EE38,   0, 159N, 1086E,  46,  982, XX
WP, 19, 2006100100, 03, EE38,  12, 157N, 1064E,  31,  989, XX
WP, 19, 2006100100, 03, EE38,  24, 160N, 1044E,  27,  993, XX
WP, 19, 2006100100, 03, EE38,  36, 164N, 1021E,  21,  999, XX
WP, 19, 2006100100, 03, EE38,  48, 169N, 1000E,  16, 1003, XX
WP, 19, 2006100100, 03, EE38,  60, 170N,  970E,  17, 1005, XX
WP, 19, 2006100100, 03, EE38,  72, 178N,  939E,  13, 1006, XX
WP, 19, 2006100100, 03, EE38,  84, 174N,  953E,  17, 1004, XX
WP, 19, 2006100100, 03, EE39,   0, 159N, 1086E,  46,  982, XX
WP, 19, 2006100100, 03, EE39,  12, 155N, 1066E,  36,  990, XX
WP, 19, 2006100100, 03, EE39,  24, 155N, 1050E,  24,  993, XX
WP, 19, 2006100100, 03, EE39,  36, 155N, 1035E,  23,  997, XX
WP, 19, 2006100100, 03, EE39,  48, 157N, 1022E,  21, 1002, XX
WP, 19, 2006100100, 03, EE39,  60, 164N, 1001E,  16, 1003, XX
WP, 19, 2006100100, 03, EE39,  72, 160N,  973E,  21, 1004, XX
WP, 19, 2006100100, 03, EE39,  84, 162N,  973E,  19, 1002, XX
WP, 19, 2006100100, 03, EE39,  96, 156N,  973E,  28, 1001, XX
WP, 19, 2006100100, 03, EE39, 108, 158N,  974E,  19, 1002, XX
WP, 19, 2006100100, 03, EE39, 120, 156N,  976E,  23, 1003, XX
WP, 19, 2006100100, 03, EE40,   0, 159N, 1086E,  47,  983, XX
WP, 19, 2006100100, 03, EE40,  12, 156N, 1072E,  33,  992, XX
WP, 19, 2006100100, 03, EE40,  24, 156N, 1053E,  28,  993, XX
WP, 19, 2006100100, 03, EE40,  36, 155N, 1036E,  23, 1000, XX
WP, 19, 2006100100, 03, EE41,   0, 159N, 1086E,  47,  982, XX
WP, 19, 2006100100, 03, EE41,  12, 151N, 1070E,  34,  990, XX
WP, 19, 2006100100, 03, EE41,  24, 151N, 1057E,  26,  992, XX
WP, 19, 2006100100, 03, EE41,  36, 151N, 1048E,  26,  997, XX
WP, 19, 2006100100, 03, EE41,  48, 154N, 1036E,  23, 1000, XX
WP, 19, 2006100100, 03, EE42,   0, 159N, 1086E,  46,  984, XX
WP, 19, 2006100100, 03, EE42,  12, 157N, 1068E,  32,  993, XX
WP, 19, 2006100100, 03, EE42,  24, 155N, 1047E,  38,  997, XX
WP, 19, 2006100100, 03, EE42,  36, 158N, 1031E,  17, 1002, XX
WP, 19, 2006100100, 03, EE43,   0, 159N, 1086E,  46,  983, XX
WP, 19, 2006100100, 03, EE43,  12, 159N, 1070E,  38,  989, XX
WP, 19, 2006100100, 03, EE43,  24, 162N, 1047E,  22,  997, XX
WP, 19, 2006100100, 03, EE43,  36, 161N, 1026E,  16, 1001, XX
WP, 19, 2006100100, 03, EE44,   0, 159N, 1086E,  47,  982, XX
WP, 19, 2006100100, 03, EE44,  12, 151N, 1069E,  34,  991, XX
WP, 19, 2006100100, 03, EE44,  24, 150N, 1055E,  32,  991, XX
WP, 19, 2006100100, 03, EE44,  36, 152N, 1041E,  22,  995, XX
WP, 19, 2006100100, 03, EE44,  48, 156N, 1028E,  29,  999, XX
WP, 19, 2006100100, 03, EE44,  60, 157N, 1006E,  19, 1002, XX
WP, 19, 2006100100, 03, EE44,  72, 142N,  996E,  24, 1003, XX
WP, 19, 2006100100, 03, EE44,  84, 154N, 1000E,  31, 1001, XX
WP, 19, 2006100100, 03, EE44,  96, 151N,  979E,  25, 1003, XX
WP, 19, 2006100100, 03, EE44, 108, 166N,  974E,  22, 1002, XX
WP, 19, 2006100100, 03, EE44, 120, 165N,  999E,  22, 1004, XX
WP, 19, 2006100100, 03, EE45,   0, 159N, 1086E,  47,  983, XX
WP, 19, 2006100100, 03, EE45,  12, 154N, 1070E,  32,  993, XX
WP, 19, 2006100100, 03, EE45,  24, 151N, 1053E,  27,  993, XX
WP, 19, 2006100100, 03, EE45,  36, 150N, 1039E,  26,  997, XX
